tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,rti_sigma_dist,rti,lti_sigma_dist,lti,min,max,mean,std,skew,kurt,left,right,maxheight,rightheight,leftheight,n_obs,fit_success
prostate,raw,ENSG00000265768.1,MIR4506,0.7844796230034786,237.17182181348093,-0.9838410481122539,0.01352087452313497,366.6095138891354,133.5792555734398,0.0,1.690142813934364,0.24115606272641407,-1.0,0.293270416206862,-0.9302325541838704,0.23118223908954147,3.3803582957288656,10.825977004461949,-1.0,0.293270416206862,235.75767841848491,0.0,56.85439348492197,282,True
skin_not_sun_exposed_suprapubic,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,8,False
skin_not_sun_exposed_suprapubic,raw,ENSG00000265768.1,MIR4506,0.20512820512820515,687.5677944628434,-0.981452405156491,0.0026137239743849274,6.3589743589743595,822.1694303399056,0.0,10.035589233658303,0.0,-1.0,0.5380662929104738,-0.9908725947403852,0.09114129794236063,11.9714929073497,162.3713452040289,-1.0,0.5380662929104738,655.2459072855062,0.0,0.0,651,True
skin_sun_exposed_lower_leg,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.22758437472942775,1.3397027274586233,-0.35798064270783714,0.02491408198099031,11.06078739425551,17.182245702849244,0.0,10.25001004450929,0.0,-0.5385542118980238,-0.0552824580432997,-0.3588962393919933,0.11680191321215055,1.0360023265242289,1.4794804355388695,-0.5385542118980238,-0.0552824580432997,1.3396547532300922,0.0,0.0,14,True
skin_sun_exposed_lower_leg,raw,ENSG00000265768.1,MIR4506,0.35897435896305235,1086.8264665721217,-0.9912952662614212,0.005003888718225295,24.97435897468477,264.5386583270126,0.0,2.460157130414987,0.04962667502885303,-1.0,-0.0552824580432997,-0.9880962166465356,0.08795077045946433,7.503783969644117,56.50800400716912,-1.0,-0.0552824580432997,1062.1574657633075,0.0,52.711343382905696,754,True
small_intestine_terminal_ileum,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.2380530195839223,0.869246295701064,-0.447948282661836,0.16728958213438938,19.939465043950594,4.865450763051403,0.0,1.9354350951777968,0.15366500862274005,-0.6768939927971678,0.1275936628421368,-0.3735818256021174,0.2195200329922437,0.9276371446671476,0.22740078756257454,-0.6768939927971678,0.1275936628421368,0.8692277939899384,0.0,0.1335698964585892,22,True
small_intestine_terminal_ileum,raw,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,207,False
spleen,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,3,False
spleen,raw,ENSG00000265768.1,MIR4506,0.07692308157323355,306.8347917321126,-0.9882913502609362,0.005416349146859954,2.769230769889937,279.6232384046456,0.0,3.0571388234194585,0.009584599975289038,-1.0,0.0826480955705537,-0.9911912283227771,0.08664459003914951,10.265216846055115,108.80156536799942,-1.0,0.0826480955705537,299.12400206298736,0.0,2.866983902781265,277,True
stomach,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.1514460695465713,0.6418547023137624,-0.5209903703316175,0.3934009218700909,11.449588986692145,3.2958841635945344,0.0,0.2715311119656706,0.963650394675009,-0.5965239337238801,0.3958470174808575,-0.25539480883655774,0.2676914797198862,0.9017179371915777,0.15646550860649455,-0.5965239337238801,0.3958470174808575,0.6390435103053587,0.0,0.6158145309202621,17,True
stomach,raw,ENSG00000265768.1,MIR4506,0.4358974359382164,462.10002985986205,-0.985211093141821,0.006435223198372147,15.58974359181873,303.50324305177367,0.0,3.2500306526741713,0.00516619750943043,-1.0,0.3958470174808575,-0.968898554668849,0.15833396561595492,5.520643855167702,32.038857327164884,-1.0,0.3958470174808575,454.8874898450115,0.0,2.3500386171083583,407,True
